"","open","high","low","close","volume","value"
"2021-07-25 09:00:00","40076000","41110000","39547000","41070000","4748.42546082","190643539619.4"
"2021-07-26 09:00:00","41054000","46800000","40864000","43001000","18124.95452103","803409465489.4"
"2021-07-27 09:00:00","43021000","45506000","42050000","45409000","10710.88094497","467385408621.46"
"2021-07-28 09:00:00","45447000","47494000","45000000","46350000","11869.72271998","547717509631.06"
"2021-07-29 09:00:00","46350000","46996000","45529000","45907000","5904.86424006","272164212254.33"
"2021-07-30 09:00:00","45936000","48661000","44450000","48555000","9277.56945527","426284796838.65"
"2021-07-31 09:00:00","48570000","48768000","47650000","47979000","5158.44167442","248552503038.63"
"2021-08-01 09:00:00","47979000","49471000","46003000","46274000","6806.08556397","325989173859.44"
"2021-08-02 09:00:00","46263000","46788000","45150000","45451000","7121.32542712","327175849671.03"
"2021-08-03 09:00:00","45451000","46150000","44440000","44969000","7445.82457713","335516584182.57"
"2021-08-04 09:00:00","44950000","46038000","44000000","45718000","6481.94468452","291363934837.11"
"2021-08-05 09:00:00","45718000","47650000","43841000","47139000","10399.67917867","473390293840.29"
"2021-08-06 09:00:00","47099000","49898000","46250000","49349000","9456.96848632","453840993289.68"
"2021-08-07 09:00:00","49342000","51300000","49000000","50956000","10988.79383695","550505738787.58"
"2021-08-08 09:00:00","50956000","51731000","50110000","50799000","8950.68143253","456213636723.81"
"2021-08-09 09:00:00","50790000","53077000","49585000","52846000","10539.78165913","545486912751.48"
"2021-08-10 09:00:00","52862000","53491000","51800000","52339000","9910.23810999","520878470417.87"
"2021-08-11 09:00:00","52335000","53500000","52219000","52590000","10943.96845795","579202786491.25"
"2021-08-12 09:00:00","52585000","53395000","51391000","52079000","13202.59267402","691538686333.48"
"2021-08-13 09:00:00","52078000","55313000","51767000","55146000","11542.23600174","619038294155.98"
"2021-08-14 09:00:00","55145000","55742000","53573000","54812000","10406.46231641","570678967849.84"
"2021-08-15 09:00:00","54817000","55166000","53349000","54636000","8686.54728059","470845007276.5"
"2021-08-16 09:00:00","54638000","55704000","53700000","53863000","8599.29243939","470451841173.91"
"2021-08-17 09:00:00","53863000","54649000","52500000","52660000","9398.25919668","505480406480.17"
"2021-08-18 09:00:00","52674000","53874000","51938000","52812000","14256.33672927","757953791475.36"
"2021-08-19 09:00:00","52815000","55050000","52002000","55017000","13997.11722659","744124182994.72"
"2021-08-20 09:00:00","55030000","57910000","54824000","57683000","12560.50365601","702429945452.29"
"2021-08-21 09:00:00","57690000","58280000","56557000","57553000","9176.90265489","526538062801.2"
"2021-08-22 09:00:00","57576000","58000000","56611000","57681000","7327.1797741","420622994566.51"
"2021-08-23 09:00:00","57714000","58726000","57374000","57627000","10945.24369893","637195815103.73"
"2021-08-24 09:00:00","57627000","57905000","55800000","56134000","16813.02809495","960959159079.55"
"2021-08-25 09:00:00","56168000","57325000","55100000","57100000","11188.10656994","628614221129.93"
"2021-08-26 09:00:00","57088000","57497000","54504000","55225000","9477.10372476","527838423776.15"
"2021-08-27 09:00:00","55255000","57600000","54616000","57401000","8324.33196789","466075659839.31"
"2021-08-28 09:00:00","57400000","57885000","56704000","57428000","5552.26274864","318695080890.53"
"2021-08-29 09:00:00","57428000","58000000","56500000","57272000","11623.61867326","664765748254.38"
"2021-08-30 09:00:00","57272000","57479000","55555000","55800000","14613.33339131","827526275068.31"
"2021-08-31 09:00:00","55800000","56333000","55022000","55230000","11075.54698274","616516258003.2"
"2021-09-01 09:00:00","55228000","56900000","54538000","56455000","9099.48005828","505247782246.05"
"2021-09-02 09:00:00","56445000","58369000","56232000","57155000","8965.19366094","515970812918.01"
"2021-09-03 09:00:00","57155000","59110000","56500000","57783000","11527.48633542","667571204414.97"
"2021-09-04 09:00:00","57717000","58500000","57184000","57827000","7242.35579057","419279027038.78"
"2021-09-05 09:00:00","57836000","59650000","57217000","59212000","7573.37229192","439317277734.58"
"2021-09-06 09:00:00","59212000","61056000","58810000","60839000","7151.92707503","426546418425.84"
"2021-09-07 09:00:00","60839000","61113000","55000000","56672000","19856.73841443","1160638810012.5"
